委托批次,项目名称,里程碑名称,节点开始日期,节点结束日期,考核日期,实际发起考核日期
河套深港科技合作区高端科研项目管理,香港应科院国际化基础研究与应用研究机构建设项目,第一阶段,2023/7/1,2024/6/30,2024/6/30,2024/8/15 0:00:00
河套深港科技合作区高端科研项目管理,香港应科院国际化基础研究与应用研究机构建设项目,第二阶段,2024/7/1,2025/6/30,2025/6/30,
河套深港科技合作区高端科研项目管理,香港应科院国际化基础研究与应用研究机构建设项目,第三阶段,2025/7/1,2026/6/30,2026/6/30,
河套深港科技合作区高端科研项目管理,基于机器学习的智能网联汽车感知、定位仿真、协同决策核心算法及计算平台研究项目,第一阶段,2021/9/1,2022/8/31,2022/8/31,2022/10/13 0:00:00
河套深港科技合作区高端科研项目管理,基于机器学习的智能网联汽车感知、定位仿真、协同决策核心算法及计算平台研究项目,第二阶段,2022/9/1,2023/8/31,2023/8/31,2023/11/9 0:00:00
河套深港科技合作区高端科研项目管理,基于机器学习的智能网联汽车感知、定位仿真、协同决策核心算法及计算平台研究项目,第三阶段,2023/9/1,2024/8/31,2024/8/31,2024/11/21 0:00:00
河套深港科技合作区高端科研项目管理,面向行业赋能的计算机视觉关键技术研究项目,第一阶段,2021/6/25,2022/6/24,2022/6/24,2022/8/4 0:00:00
河套深港科技合作区高端科研项目管理,面向行业赋能的计算机视觉关键技术研究项目,第二阶段,2022/6/25,2023/6/24,2023/6/24,2023/8/15 0:00:00
河套深港科技合作区高端科研项目管理,面向行业赋能的计算机视觉关键技术研究项目,第三阶段,2023/6/25,2024/6/24,2024/6/24,2024/10/14 0:00:00
河套深港科技合作区高端科研项目管理,低功耗、高速、高可靠性VCSEL光芯片机理研究项目,第一阶段,2020/12/9,2021/12/8,2021/12/8,2021/12/7 0:00:00
河套深港科技合作区高端科研项目管理,低功耗、高速、高可靠性VCSEL光芯片机理研究项目,第二阶段,2021/12/9,2022/12/8,2022/12/8,2022/12/7 0:00:00
河套深港科技合作区高端科研项目管理,低功耗、高速、高可靠性VCSEL光芯片机理研究项目,第三阶段,2022/12/9,2023/12/8,2023/12/8,2024/3/27 0:00:00
河套深港科技合作区高端科研项目管理,三相位法百万级像素飞行时间成像机理研究项目,第一阶段,2020/12/3,2021/12/2,2021/12/2,2022/1/6 0:00:00
河套深港科技合作区高端科研项目管理,三相位法百万级像素飞行时间成像机理研究项目,第二阶段,2021/12/3,2022/12/2,2022/12/2,2022/12/21 0:00:00
河套深港科技合作区高端科研项目管理,三相位法百万级像素飞行时间成像机理研究项目,第三阶段,2022/12/3,2023/12/2,2023/12/2,2024/1/22 0:00:00
河套深港科技合作区高端科研项目管理,基于人工智能的病原诊断与防治合作项目,第一阶段,2021/4/1,2022/3/31,2022/3/31,2022/8/10 0:00:00
河套深港科技合作区高端科研项目管理,基于人工智能的病原诊断与防治合作项目,第二阶段,2022/4/1,2023/3/31,2023/3/31,
河套深港科技合作区高端科研项目管理,基于人工智能的病原诊断与防治合作项目,第三阶段,2023/4/1,2024/3/31,2024/3/31,
河套深港科技合作区高端科研项目管理,深港智慧医疗机器人开放创新平台项目,第一阶段,2020/11/10,2021/11/9,2021/11/9,2021/11/23 0:00:00
河套深港科技合作区高端科研项目管理,深港智慧医疗机器人开放创新平台项目,第二阶段,2021/11/10,2022/11/9,2022/11/9,2023/6/12 0:00:00
河套深港科技合作区高端科研项目管理,深港智慧医疗机器人开放创新平台项目,第三阶段,2022/11/10,2023/11/9,2023/11/9,2024/6/12 0:00:00
河套深港科技合作区高端科研项目管理,先进航空材料预应力工程与纳米技术研发合作项目,第一阶段,2020/10/16,2021/10/15,2021/10/15,2021/11/22 0:00:00
河套深港科技合作区高端科研项目管理,先进航空材料预应力工程与纳米技术研发合作项目,第二阶段,2021/10/16,2022/10/15,2022/10/15,2022/12/16 0:00:00
河套深港科技合作区高端科研项目管理,先进航空材料预应力工程与纳米技术研发合作项目,第三阶段,2022/10/16,2023/10/15,2023/10/15,2024/10/9 0:00:00
河套深港科技合作区高端科研项目管理,高时空解析度电子显微镜关键部分研究合作项目,第一阶段,2020/10/16,2021/10/15,2021/10/15,2021/11/22 0:00:00
河套深港科技合作区高端科研项目管理,高时空解析度电子显微镜关键部分研究合作项目,第二阶段,2021/10/16,2022/10/15,2022/10/15,2022/11/11 0:00:00
河套深港科技合作区高端科研项目管理,高时空解析度电子显微镜关键部分研究合作项目,第三阶段,2022/10/16,2023/10/15,2023/10/15,2024/9/26 0:00:00
河套深港科技合作区高端科研项目管理（第二批）,新一代TCAD工具平台,第一阶段,2024/3/1,2025/2/28,2025/2/28,
河套深港科技合作区高端科研项目管理（第二批）,新一代TCAD工具平台,第二阶段,2025/3/1,2026/2/28,2026/2/28,
河套深港科技合作区高端科研项目管理（第二批）,新一代TCAD工具平台,第三阶段,2026/3/1,2027/2/28,2027/2/28,
河套深港科技合作区高端科研项目管理（第二批）,14nm技术节点良率综合优化系统,第一阶段,2024/4/1,2025/3/31,2025/3/31,
河套深港科技合作区高端科研项目管理（第二批）,14nm技术节点良率综合优化系统,第二阶段,2025/4/1,2026/3/31,2026/3/31,
河套深港科技合作区高端科研项目管理（第二批）,14nm技术节点良率综合优化系统,第三阶段,2026/4/1,2027/3/31,2027/3/31,
